iter	Passed	Remaining
0	0	87
1	1	78
2	2	76
3	2	71
4	3	72
5	4	77
6	5	79
7	7	85
8	8	86
9	9	84
10	10	82
11	11	80
12	11	78
13	12	77
14	13	75
15	14	74
16	15	73
17	15	72
18	16	71
19	17	71
20	18	70
21	19	69
22	20	67
23	21	67
24	23	69
25	25	71
26	26	70
27	26	69
28	27	68
29	28	66
30	29	65
31	30	64
32	31	63
33	32	62
34	32	61
35	33	59
36	34	58
37	35	58
38	37	58
39	38	58
40	39	57
41	40	55
42	41	54
43	42	53
44	43	52
45	44	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	49	44
53	51	43
54	51	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	62	30
67	63	29
68	64	29
69	66	28
70	69	28
71	70	27
72	71	26
73	72	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	82	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	90	5
94	91	4
95	92	3
96	93	2
97	93	1
98	95	0
99	98	0
