iter	Passed	Remaining
0	171	171823
1	175	87516
2	177	58912
3	179	44626
4	181	36031
5	183	30343
6	184	26237
7	186	23148
8	188	20701
9	189	18753
10	190	17161
11	192	15826
12	193	14670
13	194	13682
14	195	12833
15	196	12096
16	198	11469
17	199	10895
18	200	10363
19	201	9878
20	202	9444
21	203	9049
22	204	8686
23	205	8352
24	206	8041
25	207	7757
26	207	7492
27	208	7247
28	209	7016
29	210	6801
30	211	6605
31	212	6423
32	213	6266
33	215	6116
34	216	5959
35	217	5810
36	217	5667
37	218	5530
38	219	5400
39	219	5277
40	220	5161
41	221	5049
42	222	4942
43	222	4840
44	223	4743
45	224	4650
46	224	4561
47	225	4477
48	226	4404
49	228	4333
50	228	4261
51	229	4188
52	230	4117
53	231	4049
54	231	3983
55	232	3920
56	233	3859
57	234	3801
58	234	3744
59	235	3689
60	236	3637
61	237	3586
62	237	3538
63	238	3490
64	239	3444
65	240	3405
66	241	3368
67	243	3333
68	244	3296
69	245	3258
70	246	3221
71	247	3187
72	248	3152
73	249	3117
74	249	3082
75	250	3048
76	251	3015
77	252	2982
78	253	2950
79	253	2920
80	255	2893
81	256	2866
82	256	2836
83	257	2813
84	258	2786
85	259	2759
86	260	2733
87	261	2706
88	261	2679
89	262	2654
90	263	2629
91	263	2604
92	264	2580
93	265	2557
94	266	2534
95	266	2512
96	267	2490
97	268	2470
98	269	2449
99	270	2431
100	271	2415
101	272	2397
102	273	2377
103	273	2358
104	274	2338
105	275	2320
106	275	2303
107	276	2286
108	277	2268
109	278	2251
110	278	2234
111	279	2217
112	280	2200
113	281	2190
114	282	2174
115	283	2158
116	283	2142
117	284	2129
118	285	2117
119	286	2104
120	287	2090
121	288	2074
122	289	2060
123	289	2046
124	290	2032
125	291	2019
126	291	2005
127	292	1992
128	293	1979
129	293	1966
130	294	1954
131	295	1942
132	296	1930
133	296	1918
134	297	1906
135	298	1894
136	299	1883
137	300	1873
138	300	1863
139	301	1852
140	302	1841
141	302	1830
142	303	1819
143	304	1809
144	305	1798
145	305	1788
146	306	1778
147	307	1768
148	307	1758
149	308	1749
150	310	1747
151	311	1737
152	312	1728
153	312	1719
154	313	1711
155	315	1705
156	316	1696
157	316	1688
158	317	1679
